timestamp,open,close,high,low,volume
1716093801,1.089855,1.089855,1.089855,1.089855,0
1716093802,1.089845,1.089845,1.089845,1.089845,0
1716093803,1.089845,1.089845,1.089845,1.089845,0
1716093804,1.089845,1.089845,1.089845,1.089845,0
1716093805,1.089855,1.089855,1.089855,1.089855,0
1716093806,1.089865,1.089865,1.089865,1.089865,0
1716093807,1.089865,1.089865,1.089865,1.089865,0
1716093808,1.089865,1.089865,1.089865,1.089865,0
1716093809,1.089875,1.089875,1.089875,1.089875,0
1716093810,1.089885,1.089885,1.089885,1.089885,0
1716093811,1.089875,1.089875,1.089875,1.089875,0
1716093812,1.089885,1.089885,1.089885,1.089885,0
1716093813,1.089875,1.089875,1.089875,1.089875,0
1716093814,1.089875,1.089875,1.089875,1.089875,0
1716093815,1.089875,1.089875,1.089875,1.089875,0
1716093816,1.089855,1.089855,1.089855,1.089855,0
1716093817,1.089855,1.089855,1.089855,1.089855,0
1716093818,1.089855,1.089855,1.089855,1.089855,0
1716093819,1.089855,1.089855,1.089855,1.089855,0
1716093820,1.089875,1.089875,1.089875,1.089875,0
1716093821,1.089875,1.089875,1.089875,1.089875,0
1716093822,1.089865,1.089865,1.089865,1.089865,0
1716093823,1.089865,1.089865,1.089865,1.089865,0
1716093824,1.089865,1.089865,1.089865,1.089865,0
1716093825,1.089865,1.089865,1.089865,1.089865,0
1716093826,1.089855,1.089855,1.089855,1.089855,0
1716093827,1.089845,1.089845,1.089845,1.089845,0
1716093828,1.089855,1.089855,1.089855,1.089855,0
1716093829,1.089835,1.089835,1.089835,1.089835,0
1716093830,1.089835,1.089835,1.089835,1.089835,0
1716093831,1.089835,1.089835,1.089835,1.089835,0
1716093832,1.089835,1.089835,1.089835,1.089835,0
1716093833,1.089805,1.089805,1.089805,1.089805,0
1716093834,1.089795,1.089795,1.089795,1.089795,0
1716093835,1.089775,1.089775,1.089775,1.089775,0
1716093836,1.089775,1.089775,1.089775,1.089775,0
1716093837,1.089765,1.089765,1.089765,1.089765,0
1716093838,1.089765,1.089765,1.089765,1.089765,0
1716093839,1.089765,1.089765,1.089765,1.089765,0
1716093840,1.089755,1.089755,1.089755,1.089755,0
1716093841,1.089765,1.089765,1.089765,1.089765,0
1716093842,1.089755,1.089755,1.089755,1.089755,0
1716093843,1.089735,1.089735,1.089735,1.089735,0
1716093844,1.089725,1.089725,1.089725,1.089725,0
1716093845,1.089725,1.089725,1.089725,1.089725,0
1716093846,1.089725,1.089725,1.089725,1.089725,0
1716093847,1.089735,1.089735,1.089735,1.089735,0
1716093848,1.089725,1.089725,1.089725,1.089725,0
1716093849,1.089735,1.089735,1.089735,1.089735,0
1716093850,1.089735,1.089735,1.089735,1.089735,0
1716093851,1.089735,1.089735,1.089735,1.089735,0
1716093852,1.089725,1.089725,1.089725,1.089725,0
1716093853,1.089725,1.089725,1.089725,1.089725,0
1716093854,1.089725,1.089725,1.089725,1.089725,0
1716093855,1.089705,1.089705,1.089705,1.089705,0
1716093856,1.089705,1.089705,1.089705,1.089705,0
1716093857,1.089695,1.089695,1.089695,1.089695,0
1716093858,1.089695,1.089695,1.089695,1.089695,0
1716093859,1.089695,1.089695,1.089695,1.089695,0
1716093860,1.089705,1.089705,1.089705,1.089705,0
1716093861,1.089725,1.089725,1.089725,1.089725,0
1716093862,1.089735,1.089735,1.089735,1.089735,0
1716093863,1.089725,1.089725,1.089725,1.089725,0
1716093864,1.089725,1.089725,1.089725,1.089725,0
1716093865,1.089725,1.089725,1.089725,1.089725,0
1716093866,1.089725,1.089725,1.089725,1.089725,0
1716093867,1.089715,1.089715,1.089715,1.089715,0
1716093868,1.089715,1.089715,1.089715,1.089715,0
1716093869,1.089705,1.089705,1.089705,1.089705,0
1716093870,1.089695,1.089695,1.089695,1.089695,0
